partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0,0,0,0
"JUSTICIALISTA (2)",56,58,58,60,56,57
"UNIÓN CÍVICA RADICAL (3)",43,42,42,49,57,51
"MOVIMIENTO SIEMPRE CORRIENTES (4)",1,1,1,1,1,1
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0,0
"FEDERAL (8)",0,0,-,0,0,0
"DEMÓCRATA PROGRESISTA (9)",0,0,0,0,0,0
"RENOVADOR FEDERAL (10)",0,0,0,0,0,0
"LADRILLEROS UNIDOS (11)",0,0,0,0,0,0
"COMUNISTA (12)",0,0,-,0,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,5,5,5
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",1,1,1,-,-,-
"LABORISTA AUTÓNOMO (17)",1,1,1,1,1,1
"ELI - ENCUENTRO LIBERAL (18)",0,0,0,0,0,0
"CAMBIO POPULAR (19)",2,2,2,6,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,1,1,1
"FE (23)",1,1,1,-,1,1
"NUESTRA CAUSA (24)",1,1,1,1,1,1
"UNION POPULAR (25)",1,1,1,1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0,0
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,-,-,-
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,3,3,3
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0,0
"CONSERVADOR POPULAR (31)",1,1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0,0
"NUEVO PAIS (33)",0,0,-,0,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,1,1,1
"TERCERA POSICIÓN (35)",2,2,2,2,2,2
"UNIÓN CORRENTINA (37)",1,1,1,1,1,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4,-,-,-
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2,2
"NORTE GRANDE (43)",2,2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3,3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-,-
"VAMOS CORRIENTES (46)",2,2,2,2,2,2
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-,-
"SOCIALISTA (50)",0,0,0,0,0,0
"LIBERAL (51)",0,0,0,0,0,0
"AUTONOMISTA (52)",58,56,56,57,57,57
"DE LA VICTORIA (54)",1,1,1,1,2,2
"PROYECTO CORRIENTES (57)",0,0,-,0,0,0
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3,2,2,2
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,1,1,1
"NUEVO (90)",76,74,74,77,76,75
"POPULAR CORRENTINO (169)",11,10,10,1,1,1
"CRECER CON TODOS (170)",0,0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0,0
"KOLINA (192)",6,6,6,6,6,6
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0,0
"Votos en Blanco",10,14,14,11,7,13
"Votos Nulos",0,0,0,0,0,0
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
